2018-09-22 18:05:55 INFO     Starting Logging ...
2018-09-22 18:05:56 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:05:56 INFO     Data not proper, config not complete, Skipping file ...
2018-09-22 18:06:02 INFO     aggiestack config --hardware hdwr-config.txt 
2018-09-22 18:06:02 INFO     SUCCESS
2018-09-22 18:06:04 INFO     aggiestack show all
2018-09-22 18:06:04 INFO     SUCCESS
2018-09-22 18:06:04 INFO     SUCCESS
2018-09-22 18:06:12 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:06:12 INFO     Data not proper, config not complete, Skipping file ...
2018-09-22 18:06:22 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:06:22 INFO     SUCCESS
2018-09-22 18:06:24 INFO     aggiestack show all
2018-09-22 18:06:25 INFO     SUCCESS
2018-09-22 18:06:25 INFO     SUCCESS
2018-09-22 18:09:57 INFO     aggiestack show all
2018-09-22 18:09:57 INFO     SUCCESS
2018-09-22 18:09:57 INFO     SUCCESS
2018-09-22 18:10:07 INFO     aggiestack admin show hardware
2018-09-22 18:11:13 INFO     Starting Logging ...
2018-09-22 18:11:15 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:11:41 INFO     Starting Logging ...
2018-09-22 18:11:42 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:11:42 INFO     SUCCESS
2018-09-22 18:11:45 INFO     aggiestack config --hardware hdwr-config.txt 
2018-09-22 18:11:45 INFO     SUCCESS
2018-09-22 18:11:47 INFO     aggiestack show all
2018-09-22 18:11:47 INFO     SUCCESS
2018-09-22 18:11:47 INFO     SUCCESS
2018-09-22 18:12:02 INFO     aggiestack admin show hardware
2018-09-22 18:12:48 INFO     Starting Logging ...
2018-09-22 18:12:50 INFO     aggiestack config --hardware hdwr-config.txt 
2018-09-22 18:12:50 INFO     SUCCESS
2018-09-22 18:12:52 INFO     aggiestack admin show hardware
2018-09-22 18:14:20 INFO     Starting Logging ...
2018-09-22 18:14:22 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:14:22 INFO     SUCCESS
2018-09-22 18:14:29 INFO     aggiestack admin show hardware
2018-09-22 18:14:29 INFO     SUCCESS
2018-09-22 18:14:29 INFO     SUCCESS
2018-09-22 18:14:36 INFO     aggiestack config --hardware hdwr-config.txt 
2018-09-22 18:14:36 INFO     SUCCESS
2018-09-22 18:14:38 INFO     aggiestack admin show hardware
2018-09-22 18:14:38 INFO     SUCCESS
2018-09-22 18:14:38 INFO     SUCCESS
2018-09-22 18:14:42 INFO     aggiestack show all
2018-09-22 18:14:42 INFO     SUCCESS
2018-09-22 18:14:42 INFO     SUCCESS
2018-09-22 18:22:39 INFO     aggiestack show all
2018-09-22 18:22:39 INFO     SUCCESS
2018-09-22 18:22:39 INFO     SUCCESS
2018-09-22 18:22:56 INFO     aggiestack config --hardware 2.txt 
2018-09-22 18:22:56 INFO     SUCCESS
2018-09-22 18:22:58 INFO     aggiestack show all
2018-09-22 18:22:58 INFO     SUCCESS
2018-09-22 18:22:58 INFO     SUCCESS
2018-09-22 18:23:18 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:23:18 INFO     SUCCESS
2018-09-22 18:23:21 INFO     aggiestack admin show hardware
2018-09-22 18:23:21 INFO     SUCCESS
2018-09-22 18:23:21 INFO     SUCCESS
2018-09-22 18:24:22 INFO     aggiestack admin show hardware
2018-09-22 18:24:22 INFO     SUCCESS
2018-09-22 18:24:22 INFO     SUCCESS
2018-09-22 18:24:23 INFO     quit
2018-09-22 18:24:23 INFO     SUCCESS
2018-09-22 18:24:23 INFO     Validation Finished ...
2018-09-22 18:24:24 INFO     Starting Logging ...
2018-09-22 18:24:28 INFO     aggiestack admin show hardware
2018-09-22 18:24:28 INFO     SUCCESS
2018-09-22 18:24:28 INFO     SUCCESS
2018-09-22 18:24:30 INFO     aggiestack config --hardware 2.txt
2018-09-22 18:24:30 INFO     SUCCESS
2018-09-22 18:24:32 INFO     aggiestack show all
2018-09-22 18:24:32 INFO     SUCCESS
2018-09-22 18:24:32 INFO     SUCCESS
2018-09-22 18:24:37 INFO     aggiestack config --hardware hdwr-config.txt 
2018-09-22 18:24:37 INFO     SUCCESS
2018-09-22 18:24:39 INFO     aggiestack admin show hardware
2018-09-22 18:24:39 INFO     SUCCESS
2018-09-22 18:24:39 INFO     SUCCESS
2018-09-22 18:27:07 INFO     quit
2018-09-22 18:27:07 INFO     SUCCESS
2018-09-22 18:27:07 INFO     Validation Finished ...
2018-11-18 19:24:53 INFO     Starting Logging ...
2018-11-18 19:24:55 INFO     a
2018-11-18 19:24:55 ERROR    FAILURE
2018-11-18 19:25:17 INFO     
2018-11-18 19:25:17 INFO     
2018-11-18 19:25:17 INFO     
2018-11-18 19:25:20 INFO     exit
2018-11-18 19:25:20 ERROR    FAILURE
2018-11-18 19:25:24 INFO     quit
2018-11-18 19:25:24 INFO     SUCCESS
2018-11-18 19:25:24 INFO     Validation Finished ...
